Date,AAPL,AMZN,BAC,CVX,GLD,GOOGL,GS,JNJ,JPM,KO,META,MSFT,NVDA,PFE,PG,SPY,TLT,UNH,WMT,XOM
2018-08-20,50.94379425048828,93.83550262451172,25.5040225982666,84.14474487304688,112.69000244140625,60.56049346923828,196.94342041015625,109.7734146118164,92.23426818847656,36.57960510253906,170.9983673095703,99.12101745605469,6.1274800300598145,27.98964500427246,68.43699645996094,252.9259490966797,96.90930938720703,229.35791015625,28.553442001342773,55.600486755371094
2018-08-21,50.8444938659668,94.1709976196289,25.62795066833496,84.28053283691406,113.0199966430664,60.335487365722656,199.34068298339844,108.54639434814453,92.79753112792969,36.180381774902344,171.11734008789062,98.29557800292969,6.262963771820068,27.877241134643555,68.64973449707031,253.51927185058594,96.58309173583984,228.73733520507812,28.577247619628906,55.61461639404297
2018-08-22,50.84685516357422,95.24500274658203,25.59490394592285,84.98080444335938,113.2699966430664,60.55058288574219,199.91702270507812,107.95297241210938,92.5158920288086,35.953372955322266,172.12844848632812,99.29725646972656,6.497835636138916,27.817726135253906,68.23242950439453,253.36868286132812,96.96501159667969,227.9069366455078,28.45528793334961,56.41181564331055
2018-08-23,50.95088195800781,95.1449966430664,25.47924041748047,84.39484405517578,112.19999694824219,60.52134323120117,197.41119384765625,108.35392761230469,92.32279205322266,35.77333450317383,171.39486694335938,99.76103210449219,6.597225666046143,27.9036808013916,68.10970306396484,253.0321044921875,97.11621856689453,228.5013427734375,28.309555053710938,55.79096603393555
2018-08-24,51.10932159423828,95.26950073242188,25.520553588867188,85.0451431274414,114.16000366210938,61.29399108886719,196.38380432128906,109.0275650024414,92.28255462646484,35.718544006347656,173.129638671875,100.54007720947266,6.730237007141113,28.035926818847656,68.20789337158203,254.55506896972656,97.30716705322266,231.0011749267578,28.241147994995117,56.17195129394531
2018-08-27,51.530189514160156,96.38400268554688,25.86754608154297,86.00270080566406,114.58999633789062,62.26141357421875,202.6400604248047,108.92266845703125,93.91608428955078,35.765499114990234,175.91519165039062,101.65310668945312,6.8212199211120605,27.49372673034668,68.27333068847656,256.5649108886719,96.75015258789062,233.44857788085938,28.119199752807617,56.72227478027344
2018-08-28,51.946311950683594,96.64099884033203,25.834495544433594,85.6525650024414,113.68000030517578,61.74549102783203,202.4479522705078,108.4382553100586,93.45738220214844,35.5150146484375,174.72564697265625,102.26522827148438,6.783640384674072,27.440837860107422,68.30607604980469,256.68890380859375,96.16930389404297,234.698486328125,28.57427215576172,56.63758850097656
2018-08-29,52.72183609008789,99.90499877929688,25.727096557617188,85.90983581542969,114.19999694824219,62.67673110961914,202.30548095703125,108.87420654296875,93.151611328125,35.48370361328125,174.36874389648438,103.89762115478516,6.8890204429626465,27.440837860107422,68.31424713134766,258.07000732421875,96.2966537475586,235.12686157226562,28.446374893188477,57.046783447265625
2018-08-30,53.206539154052734,100.11900329589844,25.61968994140625,85.6168212890625,113.63999938964844,62.170719146728516,200.62933349609375,108.94686126708984,92.69293975830078,35.18624496459961,176.09361267089844,103.83269500732422,6.872199535369873,27.440837860107422,68.24879455566406,257.0252685546875,96.50350952148438,234.59364318847656,28.58319091796875,56.79985427856445
2018-08-31,53.821292877197266,100.635498046875,25.553600311279297,84.652099609375,113.51000213623047,61.04866027832031,199.29684448242188,108.73698425292969,92.20206451416016,34.88877487182617,174.20022583007812,104.18515014648438,6.943192958831787,27.454059600830078,67.87239074707031,257.0341796875,96.28071594238281,234.6548309326172,28.511802673339844,56.559967041015625
